pattern,condition,stream_id,stream_seed,beta,u_diff_cp_minus_base,mean_l1_diff_cp_minus_base,terminal_l1_diff_cp_minus_base,tau_diff_cp_minus_base,osc_rate_diff_cp_minus_base
P1-n4,D-dependent,13,20260241,0.5,-0.005608857832869241,0.011217715665738537,-0.25277031059256744,-3.0,0.022727272727272707
P1-n4,D-independent,13,20260241,0.1,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,13,20260241,0.3,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,13,20260241,0.5,0.0,0.0,0.0,0.0,0.0
P1-n4,D-mismatch,13,20260241,0.1,-0.015659816655185566,0.03131963331037113,0.04702842227636167,0.0,0.0
P1-n4,D-mismatch,13,20260241,0.3,-0.05486252802436287,0.10972505604872579,0.14928085633846416,1.0,0.022727272727272707
P1-n4,D-mismatch,13,20260241,0.5,-0.09683553165912473,0.1936710633182494,0.26655575107415946,4.0,-0.04545454545454547
P1-n4,D-dependent,14,20260242,0.1,0.003075120799209241,-0.006150241598418593,-0.01178696354306294,0.0,-0.022727272727272763
P1-n4,D-dependent,14,20260242,0.3,-0.004865675309535744,0.0097313506190716,-0.09021351541518928,0.0,0.045454545454545414
P1-n4,D-dependent,14,20260242,0.5,-0.013790947771474826,0.02758189554294954,-0.19378661349968282,0.0,0.06818181818181818
P1-n4,D-independent,14,20260242,0.1,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,14,20260242,0.3,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,14,20260242,0.5,0.0,0.0,0.0,0.0,0.0
P1-n4,D-mismatch,14,20260242,0.1,-0.009476694112620754,0.01895338822524162,0.04594888794871041,0.0,-0.06818181818181823
P1-n4,D-mismatch,14,20260242,0.3,-0.028434252427382845,0.05686850485476558,0.19674020827813157,4.0,-0.06818181818181823
P1-n4,D-mismatch,14,20260242,0.5,-0.047421017492689455,0.0948420349853788,0.3134320935690379,4.0,0.11363636363636359
P2-n5,D-dependent,0,20261228,0.1,0.03697825808026978,-0.07395651616053955,-0.11787310342069768,0.0,0.054545454545454564
P2-n5,D-dependent,0,20261228,0.3,0.1183683880876022,-0.2367367761752045,-0.37691333613806705,0.0,0.018181818181818188
P2-n5,D-dependent,0,20261228,0.5,0.2038433138386574,-0.4076866276773149,-0.6555868770029706,-1.0,0.0
P2-n5,D-independent,0,20261228,0.1,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,0,20261228,0.3,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,0,20261228,0.5,0.0,0.0,0.0,0.0,0.0
P2-n5,D-mismatch,0,20261228,0.1,-0.026378325111599654,0.0527566502231992,0.0644846614075184,0.0,-0.036363636363636376
P2-n5,D-mismatch,0,20261228,0.3,-0.07204356370567178,0.14408712741134333,0.169642731846408,0.0,-0.05454545454545451
P2-n5,D-mismatch,0,20261228,0.5,-0.11199403765679194,0.22398807531358378,0.25298264848647034,0.0,-0.09090909090909088
P2-n5,D-dependent,1,20261229,0.1,0.010074178495475872,-0.020148356990951743,-0.023070277683954088,0.0,-0.054545454545454564
P2-n5,D-dependent,1,20261229,0.3,0.029944753039671923,-0.059889506079343735,-0.08220889941085525,0.0,-0.054545454545454564
P2-n5,D-dependent,1,20261229,0.5,0.04343632467333469,-0.08687264934666916,-0.16017025749601294,-1.0,0.018181818181818132
P2-n5,D-independent,1,20261229,0.1,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,1,20261229,0.3,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,1,20261229,0.5,0.0,0.0,0.0,0.0,0.0
P2-n5,D-mismatch,1,20261229,0.1,-0.028042353310807844,0.05608470662161569,0.11182995771647697,0.0,0.03636363636363632
P2-n5,D-mismatch,1,20261229,0.3,-0.08779092060487903,0.17558184120975828,0.3286079100818817,3.0,0.05454545454545451
