pattern,condition,stream_id,stream_seed,system,beta,turn,candidate,weight,operator,target,turn_violations,turn_opportunities
P1-n4,D-dependent,0,20260228,coupled,0.3,2,1,0.35263888888888895,sigma,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,2,2,0.30230618833502076,sigma,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,2,3,0.20265167103408568,sigma,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,3,0,0.14696758101771132,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,3,1,0.25263888888888897,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,3,2,0.3223832619641725,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,3,3,0.27801026812922724,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,4,0,0.14879539434444466,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,4,1,0.15263888888888896,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,4,2,0.33828156461634395,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,4,3,0.36028415215032245,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,5,0,0.14812105094706154,delta,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,5,1,0.052638888888888735,delta,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,5,2,0.35035897234461894,delta,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,5,3,0.4488810878194307,delta,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,6,0,0.04812105094706154,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,6,1,0.01927073091142509,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,6,2,0.43704740512578355,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,6,3,0.49556081301572985,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,7,0,0.14812105094706154,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,7,1,0.04795292964334039,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,7,2,0.3557574514428292,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,7,3,0.44816856796676885,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,8,0,0.04812105094706154,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,8,1,0.013843574069049082,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,8,2,0.4432997840392598,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,8,3,0.49473559094462954,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,9,0,0.14812105094706154,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,9,1,0.043244324095082054,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,9,2,0.36118202030952135,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,9,3,0.4474526046483351,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,10,0,0.14684021977479017,sigma,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,10,1,0.14324432409508206,sigma,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,10,2,0.34485532597063506,sigma,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,10,3,0.36506013015949274,sigma,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,11,0,0.14562747863190884,delta,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,11,1,0.043244324095082165,delta,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,11,2,0.3574200876606415,delta,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,11,3,0.4537081096123675,delta,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,12,0,0.24562747863190884,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,12,1,0.06759565582073977,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,12,2,0.2818493662078376,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,12,3,0.40492749933951383,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,1,0,0.15,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,1,1,0.23071428571428573,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,1,2,0.3582142857142857,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,1,3,0.2610714285714286,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,2,0,0.1511290322580645,sigma,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,2,1,0.33071428571428574,sigma,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,2,2,0.3416449744675551,sigma,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,2,3,0.17651170756009468,sigma,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,3,0,0.1442571715593258,delta,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,3,1,0.23071428571428573,delta,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,3,2,0.3498634803939525,delta,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,3,3,0.275165062332436,delta,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,4,0,0.1320416859857989,delta,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,4,1,0.13071428571428573,delta,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,4,2,0.35031167392198626,delta,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,4,3,0.38693235437792906,delta,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,5,0,0.11480869039470717,delta,1,0,3
P1-n4,D-dependent,0,20260228,coupled,0.5,5,1,0.030714285714285722,delta,1,0,3
P1-n4,D-dependent,0,20260228,coupled,0.5,5,2,0.34346376766533165,delta,1,0,3
P1-n4,D-dependent,0,20260228,coupled,0.5,5,3,0.5110132562256755,delta,1,0,3
P1-n4,D-dependent,0,20260228,coupled,0.5,6,0,0.014808690394706947,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,6,1,1.1396371942122443e-06,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,6,2,0.4427077582352357,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,6,3,0.542482411732863,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,7,0,0.11480869039470695,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,7,1,0.051306929338026615,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,7,2,0.34007960469322857,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,7,3,0.49380477557403796,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,8,0,0.014808690394706947,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,8,1,1.1674468270717921e-06,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,8,2,0.44955996266916964,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,8,3,0.5356301794892964,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,9,0,0.11480869039470695,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,9,1,0.05130695311802273,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,9,2,0.34593891954670214,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,9,3,0.48794543694056813,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,10,0,0.12730797946118863,sigma,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,10,1,0.15130695311802272,sigma,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,10,2,0.3449683959988385,sigma,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,10,3,0.3764166714219502,sigma,1,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,11,0,0.10964404739521227,delta,1,0,3
P1-n4,D-dependent,0,20260228,coupled,0.5,11,1,0.05130695311802283,delta,1,0,3
P1-n4,D-dependent,0,20260228,coupled,0.5,11,2,0.3384874037912554,delta,1,0,3
P1-n4,D-dependent,0,20260228,coupled,0.5,11,3,0.5005615956955095,delta,1,0,3
P1-n4,D-dependent,0,20260228,coupled,0.5,12,0,0.20964404739521228,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,12,1,0.09355192862814178,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,12,2,0.24667203515691624,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.5,12,3,0.45013198881972977,sigma,0,1,3
P1-n4,D-independent,0,20260228,uncoupled,0.0,1,0,0.15,delta,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,1,1,0.2833333333333333,delta,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,1,2,0.2833333333333333,delta,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,1,3,0.2833333333333333,delta,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,2,0,0.12906976744186047,sigma,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,2,1,0.3833333333333333,sigma,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,2,2,0.24379844961240313,sigma,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,2,3,0.24379844961240313,sigma,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,3,0,0.15,delta,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,3,1,0.2833333333333333,delta,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,3,2,0.2833333333333333,delta,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,3,3,0.2833333333333333,delta,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,4,0,0.17093023255813952,delta,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,4,1,0.18333333333333332,delta,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,4,2,0.32286821705426355,delta,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,4,3,0.32286821705426355,delta,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,5,0,0.19186046511627908,delta,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,5,1,0.08333333333333331,delta,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,5,2,0.36240310077519383,delta,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,5,3,0.36240310077519383,delta,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,6,0,0.09186046511627918,delta,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,6,1,0.09364508393285369,delta,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,6,2,0.40724722547543357,delta,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,6,3,0.40724722547543357,delta,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,7,0,0.1918604651162792,sigma,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,7,1,0.0833333333333333,sigma,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,7,2,0.3624031007751938,sigma,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,7,3,0.3624031007751938,sigma,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,8,0,0.09186046511627918,delta,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,8,1,0.09364508393285369,delta,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,8,2,0.40724722547543357,delta,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,8,3,0.40724722547543357,delta,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,9,0,0.1918604651162792,sigma,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,9,1,0.0833333333333333,sigma,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,9,2,0.3624031007751938,sigma,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,9,3,0.3624031007751938,sigma,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,10,0,0.17093023255813963,sigma,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,10,1,0.1833333333333333,sigma,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,10,2,0.32286821705426355,sigma,1,0,0
