pattern,condition,stream_id,stream_seed,beta,delta_violation_rate,delta_repair_ops
P3-n6,D-mismatch,13,20262241,0.3,0.25,-2.0
P3-n6,D-mismatch,13,20262241,0.5,0.2777777777777778,-1.0
P3-n6,D-dependent,14,20262242,0.1,0.0,0.0
P3-n6,D-dependent,14,20262242,0.3,-0.36111111111111105,-1.0
P3-n6,D-dependent,14,20262242,0.5,-0.5277777777777777,-1.0
P3-n6,D-independent,14,20262242,0.1,0.0,0.0
P3-n6,D-independent,14,20262242,0.3,0.0,0.0
P3-n6,D-independent,14,20262242,0.5,0.0,0.0
P3-n6,D-mismatch,14,20262242,0.1,0.13888888888888895,29.0
P3-n6,D-mismatch,14,20262242,0.3,0.3055555555555556,9.0
P3-n6,D-mismatch,14,20262242,0.5,0.3055555555555556,15.0
