pattern,condition,stream_id,stream_seed,system,beta,turn,candidate,weight,distance_to_ref_final,operator,target
P1-n4,D-dependent,0,20260228,coupled,0.5,10,2,0.15142947893620165,0.310227398871749,sigma,2
P1-n4,D-dependent,0,20260228,coupled,0.5,10,3,0.2994000031923158,0.310227398871749,sigma,2
P1-n4,D-dependent,0,20260228,coupled,0.5,11,0,0.5695061987613214,0.28500709716555306,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.5,11,1,0.09469646776622398,0.28500709716555306,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.5,11,2,0.051429478936201645,0.28500709716555306,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.5,11,3,0.284367854536253,0.28500709716555306,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.5,12,0,0.5095877495411331,0.0,sigma,1
P1-n4,D-dependent,0,20260228,coupled,0.5,12,1,0.19469646776622399,0.0,sigma,1
P1-n4,D-dependent,0,20260228,coupled,0.5,12,2,0.09393302751897817,0.0,sigma,1
P1-n4,D-dependent,0,20260228,coupled,0.5,12,3,0.2017827551736648,0.0,sigma,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,1,0,0.2833333333333333,0.43181426725309113,delta,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,1,1,0.15,0.43181426725309113,delta,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,1,2,0.2833333333333333,0.43181426725309113,delta,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,1,3,0.2833333333333333,0.43181426725309113,delta,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,2,0,0.24379844961240313,0.5329600341444419,sigma,3
P1-n4,D-independent,0,20260228,uncoupled,0.0,2,1,0.12906976744186047,0.5329600341444419,sigma,3
P1-n4,D-independent,0,20260228,uncoupled,0.0,2,2,0.24379844961240313,0.5329600341444419,sigma,3
P1-n4,D-independent,0,20260228,uncoupled,0.0,2,3,0.3833333333333333,0.5329600341444419,sigma,3
P1-n4,D-independent,0,20260228,uncoupled,0.0,3,0,0.2833333333333333,0.43181426725309113,delta,3
P1-n4,D-independent,0,20260228,uncoupled,0.0,3,1,0.15,0.43181426725309113,delta,3
P1-n4,D-independent,0,20260228,uncoupled,0.0,3,2,0.2833333333333333,0.43181426725309113,delta,3
P1-n4,D-independent,0,20260228,uncoupled,0.0,3,3,0.2833333333333333,0.43181426725309113,delta,3
P1-n4,D-independent,0,20260228,uncoupled,0.0,4,0,0.32286821705426355,0.29109956902816286,delta,2
P1-n4,D-independent,0,20260228,uncoupled,0.0,4,1,0.17093023255813952,0.29109956902816286,delta,2
P1-n4,D-independent,0,20260228,uncoupled,0.0,4,2,0.18333333333333332,0.29109956902816286,delta,2
P1-n4,D-independent,0,20260228,uncoupled,0.0,4,3,0.32286821705426355,0.29109956902816286,delta,2
P1-n4,D-independent,0,20260228,uncoupled,0.0,5,0,0.36240310077519383,0.1701693364700233,delta,2
P1-n4,D-independent,0,20260228,uncoupled,0.0,5,1,0.19186046511627908,0.1701693364700233,delta,2
P1-n4,D-independent,0,20260228,uncoupled,0.0,5,2,0.08333333333333331,0.1701693364700233,delta,2
P1-n4,D-independent,0,20260228,uncoupled,0.0,5,3,0.36240310077519383,0.1701693364700233,delta,2
P1-n4,D-independent,0,20260228,uncoupled,0.0,6,0,0.40724722547543357,0.28048108706954356,delta,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,6,1,0.09186046511627918,0.28048108706954356,delta,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,6,2,0.09364508393285369,0.28048108706954356,delta,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,6,3,0.40724722547543357,0.28048108706954356,delta,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,7,0,0.5072472254754335,0.24727559870573584,sigma,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,7,1,0.0763632006471321,0.24727559870573584,sigma,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,7,2,0.0778467464205638,0.24727559870573584,sigma,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,7,3,0.3385428274568706,0.24727559870573584,sigma,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,8,0,0.549184179954288,0.4,delta,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,8,1,1e-06,0.4,delta,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,8,2,0.0842827707041983,0.4,delta,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,8,3,0.3665320493415137,0.4,delta,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,9,0,0.49426570704038636,0.20000000000000012,sigma,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,9,1,0.100001,0.20000000000000012,sigma,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,9,2,0.07585448520549298,0.20000000000000012,sigma,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,9,3,0.32987880775412076,0.20000000000000012,sigma,1
P1-n4,D-independent,0,20260228,uncoupled,0.0,10,0,0.44078217018090254,0.22164182986317615,sigma,2
P1-n4,D-independent,0,20260228,uncoupled,0.0,10,1,0.08918008506841195,0.22164182986317615,sigma,2
P1-n4,D-independent,0,20260228,uncoupled,0.0,10,2,0.175854485205493,0.22164182986317615,sigma,2
P1-n4,D-independent,0,20260228,uncoupled,0.0,10,3,0.29418325954519253,0.22164182986317615,sigma,2
P1-n4,D-independent,0,20260228,uncoupled,0.0,11,0,0.49426570704038625,0.20000000000000004,delta,2
