pattern,condition,system,beta,turn,candidate,weight,distance_to_w_star,operator,target
P1-n4,D-dependent,coupled,0.1,4,1,0.30605088639123623,0.35795143565358944,sigma,0
P1-n4,D-dependent,coupled,0.1,4,2,0.18899673658757998,0.35795143565358944,sigma,0
P1-n4,D-dependent,coupled,0.1,4,3,0.10392809484797856,0.35795143565358944,sigma,0
P1-n4,D-dependent,coupled,0.1,5,0,0.44674113751134703,0.2885242518021459,delta,2
P1-n4,D-dependent,coupled,0.1,5,1,0.33569917781061237,0.2885242518021459,delta,2
P1-n4,D-dependent,coupled,0.1,5,2,0.10899673658757998,0.2885242518021459,delta,2
P1-n4,D-dependent,coupled,0.1,5,3,0.1085629480904606,0.2885242518021459,delta,2
P1-n4,D-dependent,coupled,0.1,6,0,0.526741137511347,0.16749880567399933,sigma,0
P1-n4,D-dependent,coupled,0.1,6,1,0.2898524752708655,0.16749880567399933,sigma,0
P1-n4,D-dependent,coupled,0.1,6,2,0.08950945965165331,0.16749880567399933,sigma,0
P1-n4,D-dependent,coupled,0.1,6,3,0.09389692756613419,0.16749880567399933,sigma,0
P1-n4,D-dependent,coupled,0.1,7,0,0.46654914774312817,0.2990568587291237,sigma,1
P1-n4,D-dependent,coupled,0.1,7,1,0.3698524752708655,0.2990568587291237,sigma,1
P1-n4,D-dependent,coupled,0.1,7,2,0.08392242289231,0.2990568587291237,sigma,1
P1-n4,D-dependent,coupled,0.1,7,3,0.07967595409369636,0.2990568587291237,sigma,1
P1-n4,D-dependent,coupled,0.1,8,0,0.5030570421156384,0.3350628658373543,delta,3
P1-n4,D-dependent,coupled,0.1,8,1,0.40753143291867716,0.3350628658373543,delta,3
P1-n4,D-dependent,coupled,0.1,8,2,0.08941052496568443,0.3350628658373543,delta,3
P1-n4,D-dependent,coupled,0.1,8,3,1e-06,0.3350628658373543,delta,3
P1-n4,D-dependent,coupled,0.1,9,0,0.5830570421156384,0.21382608387128743,sigma,0
P1-n4,D-dependent,coupled,0.1,9,1,0.3438559998200053,0.21382608387128743,sigma,0
P1-n4,D-dependent,coupled,0.1,9,2,0.07142149327321494,0.21382608387128743,sigma,0
P1-n4,D-dependent,coupled,0.1,9,3,0.001665464791141348,0.21382608387128743,sigma,0
P1-n4,D-dependent,coupled,0.1,10,0,0.6315238271227671,0.35999584562475184,delta,2
P1-n4,D-dependent,coupled,0.1,10,1,0.36847409568960876,0.35999584562475184,delta,2
P1-n4,D-dependent,coupled,0.1,10,2,1e-06,0.35999584562475184,delta,2
P1-n4,D-dependent,coupled,0.1,10,3,1.0771876240926705e-06,0.35999584562475184,delta,2
P1-n4,D-dependent,coupled,0.1,11,0,0.7115238271227671,0.3569285394473574,sigma,0
P1-n4,D-dependent,coupled,0.1,11,1,0.2869404426009116,0.3569285394473574,sigma,0
P1-n4,D-dependent,coupled,0.1,11,2,7.670684655988662e-07,0.3569285394473574,sigma,0
P1-n4,D-dependent,coupled,0.1,11,3,0.0015349632078557067,0.3569285394473574,sigma,0
P1-n4,D-dependent,coupled,0.1,12,0,0.6281282182704847,0.35013732174279266,sigma,1
P1-n4,D-dependent,coupled,0.1,12,1,0.36694044260091163,0.35013732174279266,sigma,1
P1-n4,D-dependent,coupled,0.1,12,2,0.004930458810113436,0.35013732174279266,sigma,1
P1-n4,D-dependent,coupled,0.1,12,3,8.803184902785461e-07,0.35013732174279266,sigma,1
P1-n4,D-dependent,coupled,0.1,13,0,0.62812814771402,0.3501370776348773,delta,3
P1-n4,D-dependent,coupled,0.1,13,1,0.3669403911034186,0.3501370776348773,delta,3
P1-n4,D-dependent,coupled,0.1,13,2,0.00493046118256127,0.3501370776348773,delta,3
P1-n4,D-dependent,coupled,0.1,13,3,1.0000000001110223e-06,0.3501370776348773,delta,3
P1-n4,D-dependent,coupled,0.1,14,0,0.70812814771402,0.35482611033383143,sigma,0
P1-n4,D-dependent,coupled,0.1,14,1,0.2892849074528957,0.35482611033383143,sigma,0
P1-n4,D-dependent,coupled,0.1,14,2,0.001033129156618249,0.35482611033383143,sigma,0
P1-n4,D-dependent,coupled,0.1,14,3,0.001553815676466026,0.35482611033383143,sigma,0
P1-n4,D-dependent,coupled,0.1,15,0,0.7089429009647618,0.35703165198879555,delta,2
P1-n4,D-dependent,coupled,0.1,15,1,0.28957292502963594,0.35703165198879555,delta,2
P1-n4,D-dependent,coupled,0.1,15,2,9.999999997779553e-07,0.35703165198879555,delta,2
P1-n4,D-dependent,coupled,0.1,15,3,0.0014831740056024155,0.35703165198879555,delta,2
P1-n4,D-dependent,coupled,0.1,16,0,0.7889429009647617,0.41788580192952346,sigma,0
P1-n4,D-dependent,coupled,0.1,16,1,0.20859487844670416,0.41788580192952346,sigma,0
P1-n4,D-dependent,coupled,0.1,16,2,7.066870324429683e-07,0.41788580192952346,sigma,0
P1-n4,D-dependent,coupled,0.1,16,3,0.0024615139015016574,0.41788580192952346,sigma,0
P1-n4,D-dependent,coupled,0.1,17,0,0.7064021590219918,0.34999407493739193,sigma,1
P1-n4,D-dependent,coupled,0.1,17,1,0.2885948784467042,0.34999407493739193,sigma,1
P1-n4,D-dependent,coupled,0.1,17,2,0.005002069417328128,0.34999407493739193,sigma,1
P1-n4,D-dependent,coupled,0.1,17,3,8.931139759397923e-07,0.34999407493739193,sigma,1
P1-n4,D-dependent,coupled,0.1,18,0,0.7064020872241981,0.34999385694381174,delta,3
P1-n4,D-dependent,coupled,0.1,18,1,0.2885948412477078,0.34999385694381174,delta,3
P1-n4,D-dependent,coupled,0.1,18,2,0.005002071528094053,0.34999385694381174,delta,3
P1-n4,D-dependent,coupled,0.1,18,3,1.0000000001110223e-06,0.34999385694381174,delta,3
P1-n4,D-dependent,coupled,0.1,19,0,0.786402087224198,0.41280417444839607,sigma,0
P1-n4,D-dependent,coupled,0.1,19,1,0.2111553923674842,0.41280417444839607,sigma,0
P1-n4,D-dependent,coupled,0.1,19,2,0.001006322756668273,0.41280417444839607,sigma,0
P1-n4,D-dependent,coupled,0.1,19,3,0.001436197651649513,0.41280417444839607,sigma,0
P1-n4,D-dependent,coupled,0.1,20,0,0.7872783698834215,0.414556739766843,delta,2
P1-n4,D-dependent,coupled,0.1,20,1,0.21135336178318387,0.414556739766843,delta,2
P1-n4,D-dependent,coupled,0.1,20,2,1.0000000001110223e-06,0.414556739766843,delta,2
P1-n4,D-dependent,coupled,0.1,20,3,0.0013672683333945436,0.414556739766843,delta,2
P1-n4,D-dependent,coupled,0.1,21,0,0.8672783698834214,0.5745567397668428,sigma,0
P1-n4,D-dependent,coupled,0.1,21,1,0.13069258710504297,0.5745567397668428,sigma,0
P1-n4,D-dependent,coupled,0.1,21,2,6.023994559515187e-07,0.5745567397668428,sigma,0
P1-n4,D-dependent,coupled,0.1,21,3,0.0020284406120796494,0.5745567397668428,sigma,0
P1-n4,D-dependent,coupled,0.1,22,0,0.7842537067431935,0.40850741348638697,sigma,1
P1-n4,D-dependent,coupled,0.1,22,1,0.21069258710504296,0.40850741348638697,sigma,1
P1-n4,D-dependent,coupled,0.1,22,2,0.005052803962391473,0.40850741348638697,sigma,1
P1-n4,D-dependent,coupled,0.1,22,3,9.02189372143666e-07,0.40850741348638697,sigma,1
P1-n4,D-dependent,coupled,0.1,23,0,0.7842536330460995,0.40850726609219906,delta,3
P1-n4,D-dependent,coupled,0.1,23,1,0.21069256106517276,0.40850726609219906,delta,3
P1-n4,D-dependent,coupled,0.1,23,2,0.005052805888727628,0.40850726609219906,delta,3
P1-n4,D-dependent,coupled,0.1,23,3,1.0000000001110223e-06,0.40850726609219906,delta,3
P1-n4,D-dependent,coupled,0.1,24,0,0.8642536330460995,0.568507266092199,sigma,0
P1-n4,D-dependent,coupled,0.1,24,1,0.13361280903411413,0.568507266092199,sigma,0
P1-n4,D-dependent,coupled,0.1,24,2,0.0008974579376112309,0.568507266092199,sigma,0
P1-n4,D-dependent,coupled,0.1,24,3,0.001236099982175148,0.568507266092199,sigma,0
P1-n4,D-dependent,coupled,0.3,1,0,0.3300000000000001,0.5108241469816271,sigma,0
P1-n4,D-dependent,coupled,0.3,1,1,0.2345879265091863,0.5108241469816271,sigma,0
P1-n4,D-dependent,coupled,0.3,1,2,0.21032020997375325,0.5108241469816271,sigma,0
P1-n4,D-dependent,coupled,0.3,1,3,0.22509186351706034,0.5108241469816271,sigma,0
P1-n4,D-dependent,coupled,0.3,2,0,0.29623730392918163,0.5675253921416367,sigma,1
P1-n4,D-dependent,coupled,0.3,2,1,0.3145879265091863,0.5675253921416367,sigma,1
P1-n4,D-dependent,coupled,0.3,2,2,0.20024249604301866,0.5675253921416367,sigma,1
P1-n4,D-dependent,coupled,0.3,2,3,0.18893227351861336,0.5675253921416367,sigma,1
P1-n4,D-dependent,coupled,0.3,3,0,0.3116100861721691,0.5367798276556618,delta,3
P1-n4,D-dependent,coupled,0.3,3,1,0.362851195574831,0.5367798276556618,delta,3
P1-n4,D-dependent,coupled,0.3,3,2,0.21660644473438656,0.5367798276556618,delta,3
P1-n4,D-dependent,coupled,0.3,3,3,0.10893227351861336,0.5367798276556618,delta,3
P1-n4,D-dependent,coupled,0.3,4,0,0.39161008617216925,0.37677982765566154,sigma,0
P1-n4,D-dependent,coupled,0.3,4,1,0.3297819594489229,0.37677982765566154,sigma,0
P1-n4,D-dependent,coupled,0.3,4,2,0.17877265606646756,0.37677982765566154,sigma,0
P1-n4,D-dependent,coupled,0.3,4,3,0.09983529831244031,0.37677982765566154,sigma,0
P1-n4,D-dependent,coupled,0.3,5,0,0.44815956338074014,0.3061355611055844,delta,2
P1-n4,D-dependent,coupled,0.3,5,1,0.36059230760708844,0.3061355611055844,delta,2
P1-n4,D-dependent,coupled,0.3,5,2,0.09877265606646767,0.3061355611055844,delta,2
P1-n4,D-dependent,coupled,0.3,5,3,0.09247547294570378,0.3061355611055844,delta,2
P1-n4,D-dependent,coupled,0.3,6,0,0.5281595633807401,0.1964439822562308,sigma,0
P1-n4,D-dependent,coupled,0.3,6,1,0.315814439038401,0.1964439822562308,sigma,0
P1-n4,D-dependent,coupled,0.3,6,2,0.07361844549114449,0.1964439822562308,sigma,0
P1-n4,D-dependent,coupled,0.3,6,3,0.08240755208971443,0.1964439822562308,sigma,0
P1-n4,D-dependent,coupled,0.3,7,0,0.4635710844080502,0.3159182958827466,sigma,1
P1-n4,D-dependent,coupled,0.3,7,1,0.395814439038401,0.3159182958827466,sigma,1
P1-n4,D-dependent,coupled,0.3,7,2,0.07846976765057644,0.3159182958827466,sigma,1
P1-n4,D-dependent,coupled,0.3,7,3,0.062144708902972266,0.3159182958827466,sigma,1
P1-n4,D-dependent,coupled,0.3,8,0,0.48519557033994026,0.3906273566684127,delta,3
